SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-GRAN-0059,"Grandeur 5"" EWO — Tundra HB (ABC)",Grandeur,Grandeur,,a58b68fd-1818-446b-be88-69886b779ddb,GRND5EWOTUNDRAHB,Herringbone,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,Herringbone,5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,9.7,,,,,TRUE,FALSE,,,,,,,,,recENSL6XA7o5bqDM,matched
ENG-GRAN-0060,"Grandeur 6"" EWO — Napa Valley Chevron (AB)",Grandeur,Grandeur,,1927955a-c997-4c30-a113-51cfa6d1cd63,GRND6EWONAPAVALLEYCHEVRON,Herringbone,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,Chevron,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,7.27,,,,,TRUE,FALSE,,,,,,,,,rec8qIS5GbTbsNTpE,matched
ENG-GRAN-0061,"Grandeur 9.5"" EWO — Banff (ABCD)",Grandeur,Grandeur,,490a8512-5096-4a04-bfe4-d9b1dbdf13a3,GRND95EWOBANFF,Elite,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,9.5,19.05,,4,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.89,7.89,9.49,,,,,2026-09-01,Cowork,22.74,,,,Low stock,TRUE,FALSE,,,,,,,,,recOyszODJ2Gb4jbQ,matched
ENG-GRAN-0062,"Grandeur 9.5"" EWO — Cape Breton (ABCD)",Grandeur,Grandeur,,0b926671-55cd-4cfd-bd1c-389daf725375,GRND95EWOCAPEBRETON,Elite,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,9.5,19.05,,4,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.89,7.89,9.49,,,,,2026-09-01,Cowork,22.74,,,,Low stock,TRUE,FALSE,,,,,,,,,rec2dCVugoy6SVmMC,matched
ENG-GRAN-0063,"Grandeur 9.5"" EWO — Mont Tremblant (ABCD)",Grandeur,Grandeur,,5dd57066-d105-4667-acda-b0300bb772b1,GRND95EWOMONTTREMBLANT,Elite,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,9.5,19.05,,4,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.89,7.89,9.49,,,,,2026-09-01,Cowork,22.74,,,,Low stock,TRUE,FALSE,,,,,,,,,rectOV4YtmMPmtLtp,matched
ENG-GRAN-0064,"Grandeur 9.5"" EWO — Pacific Rim (ABCD)",Grandeur,Grandeur,,8f5c9008-3c44-41c1-923b-271d0c5151da,GRND95EWOPACIFICRIM,Elite,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,9.5,19.05,,4,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.89,7.89,9.49,,,,,2026-09-01,Cowork,22.74,,,,Low stock,TRUE,FALSE,,,,,,,,,recrMxRXow9gnjj0s,matched
ENG-GRAN-0065,"Grandeur 9.5"" EWO — Whistler (ABCD)",Grandeur,Grandeur,,988f35d4-190b-48f8-adcc-350e71de3940,GRND95EWOWHISTLER,Elite,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,9.5,19.05,,4,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.89,7.89,9.49,,,,,2026-09-01,Cowork,22.74,,,,Low stock,TRUE,FALSE,,,,,,,,,rec5wHCyumqqqUaZ2,matched
ENG-GRAN-0066,"Grandeur 9.5"" EWO — Yoho (ABCD)",Grandeur,Grandeur,,a1d9916b-ed0e-4ec3-9373-de7b96db73cf,GRND95EWOYOHO,Elite,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,9.5,19.05,,4,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.89,7.89,9.49,,,,,2026-09-01,Cowork,22.74,,,,Low stock,TRUE,FALSE,,,,,,,,,recq8zYjWbpIZkRWd,matched
ENG-GRAN-0071,"Grandeur 7.5"" EWO — Sandbar (7.5"") (ABC)",Grandeur,Grandeur,,92442d0a-a66c-46b8-bcb1-dfe91b0a2faf,GRND75EWOSANDBAR,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.29,7.29,8.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,,,rec6xHThpe9i4sVux,matched
ENG-GRAN-0072,"Grandeur 7.5"" EWO — Silva (7.5"") (ABC)",Grandeur,Grandeur,,e7c32a4a-16f6-4b26-8370-eb3cae759bf1,GRND75EWOSILVA,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.29,7.29,8.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,,,recrgrGzGOAuMU4IF,matched
ENG-GRAN-0069,"Grandeur 7.5"" EWO — Anacapri (7.5"") (AB)",Grandeur,Grandeur,,6f1a2c8f-508a-40bd-a581-15abbd829603,GRND75EWOANACAPRI,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,19.05,,3,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.99,7.99,9.89,,6.99,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,SALE item (footnote 1 = AB Grade). No regular equivalent in this collection at this grade/finish combo -> Cost/unit=SALE price per Sale rule 3.,,rec5DMsOWZXnpiqVt,matched
ENG-GRAN-0070,"Grandeur 7.5"" EWO — Milan (7.5"") (ABC)",Grandeur,Grandeur,,468e7a95-81c3-4604-a380-a945f3bb43f9,GRND75EWOMILAN,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,7.5,19.05,,3,,,Ultra Reactive Finish European Stain Hand Crafted,T&G,,,,,,,,,,6.79,7.79,9.69,,6.79,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,SALE item. No regular equivalent in this collection at this grade/finish combo -> Cost/unit=SALE price per Sale rule 3.,,rec6yYynTfTgr4Js2,matched
ENG-GRAN-0073,"Grandeur 7.5"" EWO — Azure Coast (7.5"") (ABC)",Grandeur,Grandeur,,af8d627b-4fa0-47da-8922-d915093ff448,GRND75EWOAZURECOAST,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,7.5,19.05,,3,,,Smooth Finish,T&G,,,,,,,,,,5.79,6.79,8.69,,5.79,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,SALE item. No regular equivalent in this collection at this grade/finish combo -> Cost/unit=SALE price per Sale rule 3.,,rec6l7tsFUidrXZQs,matched
ENG-GRAN-0074,"Grandeur 7.5"" EWO — Morocco Sand (7.5"") (ABC)",Grandeur,Grandeur,,e13ac32d-2843-4154-b111-1865909596f9,GRND75EWOMOROCCOSAND,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,7.5,19.05,,3,,,Smooth Finish,T&G,,,,,,,,,,5.79,6.79,8.69,,5.79,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,"SALE item, same price row as Azure Coast (7.5""). No regular equivalent -> Cost/unit=SALE price per Sale rule 3.",,recdxuD6iP0RZXriG,matched
ENG-GRAN-0075,"Grandeur 6"" EWO — Morocco Sand (6"") (ABCD)",Grandeur,Grandeur,,f6c32fba-09c6-47b7-a14e-bca71e03fd2e,GRND6EWOMOROCCOSAND,Regal,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,3,,,Smooth Finish,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,21.31,,,,,TRUE,FALSE,,,,,,,SALE item (footnote 2 = ABCD Grade). No regular equivalent at this width/grade -> Cost/unit=SALE price per Sale rule 3.,,recyyAL9tTZULI15J,matched
ENG-GRAN-0076,"Grandeur 6"" EWO — Barossa (6"") (AB)",Grandeur,Grandeur,,4ddb1936-73fb-4f83-8032-ab92085605be,GRND6EWOBAROSSA,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.79,7.79,9.09,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recfMCLAfUHMITcOJ,matched
ENG-GRAN-0077,"Grandeur 6"" EWO — Burgundy (6"") (AB)",Grandeur,Grandeur,,db38c309-f3b2-41fb-81b3-ea53b734bcdd,GRND6EWOBURGUNDY,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.79,7.79,9.09,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recE8fcQMenQgy9nC,matched
ENG-GRAN-0078,"Grandeur 6"" EWO — Napa Valley (6"") (AB)",Grandeur,Grandeur,,48280127-6dfe-49dd-8ab8-78ee9b372d5a,GRND6EWONAPAVALLEY,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.79,7.79,9.09,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,rece1qC7ekum7jbPQ,matched
ENG-GRAN-0079,"Grandeur 6"" EWO — Sonoma (6"") (AB)",Grandeur,Grandeur,,a0714599-ef55-45fe-921d-2e8b2477513b,GRND6EWOSONOMA,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.79,7.79,9.09,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recopArVtH3EsiT3h,matched
ENG-GRAN-0103,"Grandeur 6"" EWO — Veneto (6"") (AB)",Grandeur,Grandeur,,14a5f967-59df-443f-97ed-4c52450b0d15,GRND6EWOVENETO,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.79,7.79,9.09,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0103 assigned continuing the live ENG-GRAN sequence.,,,new
ENG-GRAN-0080,"Grandeur 7.5"" EWO — Barossa (7.5"") (AB)",Grandeur,Grandeur,,e90bc176-ca39-4836-af23-6f09ad637ccb,GRND75EWOBAROSSA,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,,,recGAMmF7fXCnX0mu,matched
ENG-GRAN-0081,"Grandeur 7.5"" EWO — Burgundy (7.5"") (AB)",Grandeur,Grandeur,,8abb3a36-9990-4021-bad3-66c525e2d5f7,GRND75EWOBURGUNDY,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,,,recVLY1ltYASjMNH1,matched
ENG-GRAN-0082,"Grandeur 7.5"" EWO — Napa Valley (7.5"") (AB)",Grandeur,Grandeur,,19caaaf1-b12e-4c09-9dd7-695dc2301548,GRND75EWONAPAVALLEY,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,,,recjxE4E1ytHQudWG,matched
ENG-GRAN-0083,"Grandeur 7.5"" EWO — Sonoma (7.5"") (AB)",Grandeur,Grandeur,,9273de7e-d9ca-4f81-8f48-cc00e7455c54,GRND75EWOSONOMA,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,,,recANpOyJTXSRtEmP,matched
ENG-GRAN-0104,"Grandeur 7.5"" EWO — Veneto (7.5"") (AB)",Grandeur,Grandeur,,b6b405d6-b44d-4ba2-947c-5fddf472ae7c,GRND75EWOVENETO,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0104 assigned continuing the live ENG-GRAN sequence.,,,new
ENG-GRAN-0084,"Grandeur 6"" EWO — Barossa HB (AB)",Grandeur,Grandeur,,f2720f86-36ea-499c-a25f-ef801ddd292f,GRND6EWOBAROSSAHB,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,Herringbone,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,8.72,,,,,TRUE,FALSE,,,,,,,,,rec1ImzgiQHXtltx4,matched
ENG-GRAN-0085,"Grandeur 6"" EWO — Burgundy HB (AB)",Grandeur,Grandeur,,557f1487-663a-427e-9c02-9dc34439d011,GRND6EWOBURGUNDYHB,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,Herringbone,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,8.72,,,,,TRUE,FALSE,,,,,,,,,reco4PsH4XFZGKbDB,matched
ENG-GRAN-0086,"Grandeur 6"" EWO — Napa Valley HB (AB)",Grandeur,Grandeur,,b3a00a4a-0e95-4ed6-9af5-d45e4a2e91e3,GRND6EWONAPAVALLEYHB,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,Herringbone,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,8.72,,,,,TRUE,FALSE,,,,,,,,,recZkh8hsWRQKpRIi,matched
ENG-GRAN-0087,"Grandeur 6"" EWO — Sonoma HB (AB)",Grandeur,Grandeur,,fe500b63-e2bd-4c71-b9ad-a542c0aa5897,GRND6EWOSONOMAHB,Regal Plus,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,Herringbone,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,7.59,8.59,9.89,,,,,2026-09-01,Cowork,8.72,,,,,TRUE,FALSE,,,,,,,,,recnb6n9H5Yy1ySzT,matched
ENG-GRAN-0091,"Grandeur 7.5"" AO — Rosedale (AB)",Grandeur,Grandeur,,5ae28880-418b-46ce-9cb1-b33434d2e69c,GRND75AOROSEDALE,Prestige,Flooring,Engineered hardwood,Hardwood plywood,American Oak,,Select & Better,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recSQSHDfAheVBlYd,matched
ENG-GRAN-0094,"Grandeur 5"" WO — Aspen (ABCD)",Grandeur,Grandeur,,e0bd75ab-1037-4001-8923-7a8f769854c5,GRND5WOASPEN,Evergreen,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,5,19.05,,3,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,22.6,,,,,TRUE,FALSE,,,,,,,"Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,reclc44VA0WIZb8FA,matched
ENG-GRAN-0095,"Grandeur 5"" WO — Elm (ABCD)",Grandeur,Grandeur,,b9f666a2-d314-4fd4-bd7d-260208cdad98,GRND5WOELM,Evergreen,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,5,19.05,,3,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,22.6,,,,,TRUE,FALSE,,,,,,,"Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,recn8gFvjHu3L0X6H,matched
ENG-GRAN-0096,"Grandeur 5"" WO — Hemlock (ABCD)",Grandeur,Grandeur,,f55ad67d-6b03-4473-a7fc-c0c5e06a7ed8,GRND5WOHEMLOCK,Evergreen,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,5,19.05,,3,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,22.6,,,,,TRUE,FALSE,,,,,,,"Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,recD126B8LyUIyvCI,matched
ENG-GRAN-0097,"Grandeur 5"" WO — Sycamore (ABCD)",Grandeur,Grandeur,,864fcdbd-658b-40b5-b9ae-ae6019ed19be,GRND5WOSYCAMORE,Evergreen,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,5,19.05,,3,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,22.6,,,,,TRUE,FALSE,,,,,,,"Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,recOINE0AOuUGKSpu,matched
ENG-GRAN-0098,"Grandeur 7.5"" WO — Bronze Dust (BCDE)",Grandeur,Grandeur,,d6f96d1b-f923-4dcf-b69c-3518f64b726a,GRND75WOBRONZEDUST,Atelier,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,,,7.5,19.05,,3,,,Hand Scraped & Distressed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,FLAG FOR ALBERT: Grade printed as 'BCDE Grade' -- does not map to standard letter grades (AB/ABC/ABCD/EF) or a canonical word grade. Grade field left blank pending supplier clarification; verbatim supplier grade: BCDE. Species also stated generically as 'White Oak' (American/European unspecified).,,recYXJ4NR4d4EC2sS,matched
ENG-GRAN-0099,"Grandeur 7.5"" WO — Carrara (BCDE)",Grandeur,Grandeur,,4ac3d94a-0fc0-40a9-a347-95181631957b,GRND75WOCARRARA,Atelier,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,,,7.5,19.05,,3,,,Hand Scraped & Distressed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,FLAG FOR ALBERT: Grade printed as 'BCDE Grade' -- does not map to standard letter grades (AB/ABC/ABCD/EF) or a canonical word grade. Grade field left blank pending supplier clarification; verbatim supplier grade: BCDE. Species also stated generically as 'White Oak' (American/European unspecified).,,rectITu7Lvdsw0NZd,matched
ENG-GRAN-0100,"Grandeur 7.5"" WO — Clayborn (BCDE)",Grandeur,Grandeur,,2267d47f-7487-4ea9-bc58-caf0621f9715,GRND75WOCLAYBORN,Atelier,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,,,7.5,19.05,,3,,,Hand Scraped & Distressed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,FLAG FOR ALBERT: Grade printed as 'BCDE Grade' -- does not map to standard letter grades (AB/ABC/ABCD/EF) or a canonical word grade. Grade field left blank pending supplier clarification; verbatim supplier grade: BCDE. Species also stated generically as 'White Oak' (American/European unspecified).,,recqAw5bAaIuBXPDu,matched
ENG-GRAN-0101,"Grandeur 7.5"" WO — Terracotta (BCDE)",Grandeur,Grandeur,,8133ed4c-d624-434d-b87d-d6bc27f7a7ba,GRND75WOTERRACOTTA,Atelier,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,,,7.5,19.05,,3,,,Hand Scraped & Distressed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,FLAG FOR ALBERT: Grade printed as 'BCDE Grade' -- does not map to standard letter grades (AB/ABC/ABCD/EF) or a canonical word grade. Grade field left blank pending supplier clarification; verbatim supplier grade: BCDE. Species also stated generically as 'White Oak' (American/European unspecified).,,recf2rwzPba5pfr4B,matched
ENG-GRAN-0105,"Grandeur 6"" WO — Cambridge Willow (6"") (ABC)",Grandeur,Grandeur,,c8bc9851-e56c-4368-b540-96c41f4fd7cb,GRND6WOCAMBRIDGEWILLOW,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,5.29,6.29,7.89,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0105 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0106,"Grandeur 6"" WO — Glasgow Rocks (6"") (ABC)",Grandeur,Grandeur,,546233ca-e605-4efd-9b0d-ac34d6e595c4,GRND6WOGLASGOWROCKS,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,5.29,6.29,7.89,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0106 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0107,"Grandeur 6"" WO — London Fog (6"") (ABC)",Grandeur,Grandeur,,2de8e683-e80c-42f0-8eb1-baf6b94f5c0e,GRND6WOLONDONFOG,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,5.29,6.29,7.89,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0107 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0108,"Grandeur 6"" WO — Oxford Stone (6"") (ABC)",Grandeur,Grandeur,,6293a053-fecb-444e-8dd7-82f9b3cd5d0e,GRND6WOOXFORDSTONE,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,5.29,6.29,7.89,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0108 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0109,"Grandeur 7.5"" WO — Cambridge Willow (7.5"") (ABC)",Grandeur,Grandeur,,ee57d05a-0988-47c1-8ccb-3373fe42c96c,GRND75WOCAMBRIDGEWILLOW,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0109 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0110,"Grandeur 7.5"" WO — Glasgow Rocks (7.5"") (ABC)",Grandeur,Grandeur,,38a3b670-53b7-422a-abf1-3394b054a969,GRND75WOGLASGOWROCKS,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0110 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0111,"Grandeur 7.5"" WO — London Fog (7.5"") (ABC)",Grandeur,Grandeur,,fab8c3ee-0c9b-4da4-8ad4-bd1e76ebe5b9,GRND75WOLONDONFOG,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0111 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
ENG-GRAN-0112,"Grandeur 7.5"" WO — Oxford Stone (7.5"") (ABC)",Grandeur,Grandeur,,ae51e8ed-beee-4ba0-b2c8-1b5c973c9d39,GRND75WOOXFORDSTONE,Majesty,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,7.5,19.05,,3,,,Light Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,22.82,,,,,TRUE,FALSE,,,,,,,"NEW PRODUCT — not present in the live Master Flooring Catalogue on 2026-09-03. SKU ENG-GRAN-0112 assigned continuing the live ENG-GRAN sequence. | Species stated generically as 'White Oak' on supplier price list, not specified American or European. Stored verbatim; confirm exact species with Grandeur rep.",,,new
