supplier,sku,change,promo_end_date,promo_cost,regular_cost,before,after,action_id
CANADIAN STANDARD,ENG-CANS-0087,(P) on,2026-10-31,3.59,3.79,"CANSENG - Engineered Click Oak (Santa Maria) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Oak (Santa Maria) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-4e7ad992eb40
CANADIAN STANDARD,ENG-CANS-0087,cost -> promo,2026-10-31,3.59,3.79,3.79,3.59,promo-386be40ea332
CANADIAN STANDARD,ENG-CANS-0088,(P) on,2026-10-31,3.59,3.79,"CANSENG - Engineered Click Oak (Napa Valley) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Oak (Napa Valley) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-199ef6ed390f
CANADIAN STANDARD,ENG-CANS-0088,cost -> promo,2026-10-31,3.59,3.79,3.79,3.59,promo-1239b5e885fb
CANADIAN STANDARD,LAM-CANS-0001,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Akita) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Akita) | 9.29"" x 12mm x RL - 19.28sf/b",promo-6686c8b16218
CANADIAN STANDARD,LAM-CANS-0001,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-fb38ecdfc869
CANADIAN STANDARD,LAM-CANS-0002,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Nagasaki) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Nagasaki) | 9.29"" x 12mm x RL - 19.28sf/b",promo-0492c60e1033
CANADIAN STANDARD,LAM-CANS-0002,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-9ac1880ddda3
CANADIAN STANDARD,LAM-CANS-0003,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Nara) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Nara) | 9.29"" x 12mm x RL - 19.28sf/b",promo-2e0ddb2483b5
CANADIAN STANDARD,LAM-CANS-0003,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-4a37b9463369
CANADIAN STANDARD,LAM-CANS-0004,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Nikko) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Nikko) | 9.29"" x 12mm x RL - 19.28sf/b",promo-4f92b33bbfad
CANADIAN STANDARD,LAM-CANS-0004,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-80eeae30cd1e
CANADIAN STANDARD,LAM-CANS-0005,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Noto) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Noto) | 9.29"" x 12mm x RL - 19.28sf/b",promo-0240b07e081c
CANADIAN STANDARD,LAM-CANS-0005,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-14341d887d77
CANADIAN STANDARD,LAM-CANS-0006,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Shikoku) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Shikoku) | 9.29"" x 12mm x RL - 19.28sf/b",promo-3e6eb7687e49
CANADIAN STANDARD,LAM-CANS-0006,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-b6f23961a4b6
CANADIAN STANDARD,LAM-CANS-0007,(P) on,2026-10-31,1.99,2.39,"CANSLAM - Elemental12 Planks Waterproof (Uji) | 9.29"" x 12mm x RL - 19.28sf/b","(P 2026-10-31) CANSLAM - Elemental12 Planks Waterproof (Uji) | 9.29"" x 12mm x RL - 19.28sf/b",promo-f0198c6c56f2
CANADIAN STANDARD,LAM-CANS-0007,cost -> promo,2026-10-31,1.99,2.39,2.39,1.99,promo-72d7159575c6
CANADIAN STANDARD,LAM-CANS-0008,(P) on,2026-10-31,2.39,2.79,"CANSLAM - Elemental12 Herringbone Waterproof (Akita - H) | 6.5"" x 12mm x RL - 11.37sf/b","(P 2026-10-31) CANSLAM - Elemental12 Herringbone Waterproof (Akita - H) | 6.5"" x 12mm x RL - 11.37sf/b",promo-51029b800d9a
CANADIAN STANDARD,LAM-CANS-0008,cost -> promo,2026-10-31,2.39,2.79,2.79,2.39,promo-2a322149c06d
CANADIAN STANDARD,LAM-CANS-0010,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Five Peaks) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Five Peaks) | 7.72"" x 8mm x RL - 25.63sf/b",promo-32b66069ef49
CANADIAN STANDARD,LAM-CANS-0010,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-abc13c61e5d1
CANADIAN STANDARD,LAM-CANS-0011,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Lake View) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Lake View) | 7.72"" x 8mm x RL - 25.63sf/b",promo-8dec03376614
CANADIAN STANDARD,LAM-CANS-0011,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-075e11381509
CANADIAN STANDARD,LAM-CANS-0012,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Laurel Ridge) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Laurel Ridge) | 7.72"" x 8mm x RL - 25.63sf/b",promo-7737cc463307
CANADIAN STANDARD,LAM-CANS-0012,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-2340cf77227b
CANADIAN STANDARD,LAM-CANS-0013,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Oak Bridge) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Oak Bridge) | 7.72"" x 8mm x RL - 25.63sf/b",promo-92113456f6d0
CANADIAN STANDARD,LAM-CANS-0013,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-b0fe40d2e0a0
CANADIAN STANDARD,LAM-CANS-0014,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Town Mill) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Town Mill) | 7.72"" x 8mm x RL - 25.63sf/b",promo-b3abb5232d85
CANADIAN STANDARD,LAM-CANS-0014,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-e28e2a66690e
CANADIAN STANDARD,LAM-CANS-0015,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Willow Creek) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Willow Creek) | 7.72"" x 8mm x RL - 25.63sf/b",promo-7f6218553c64
CANADIAN STANDARD,LAM-CANS-0015,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-3419965b6ed3
CANADIAN STANDARD,LAM-CANS-0016,(P) on,2026-09-30,1.29,1.79,"CANSLAM - 8MM Laminate Waterproof Fibre Planks (Wood Land) | 7.72"" x 8mm x RL - 25.63sf/b","(P 2026-09-30) CANSLAM - 8MM Laminate Waterproof Fibre Planks (Wood Land) | 7.72"" x 8mm x RL - 25.63sf/b",promo-6201442014db
CANADIAN STANDARD,LAM-CANS-0016,cost -> promo,2026-09-30,1.29,1.79,1.79,1.29,promo-e1013b694b58
CANADIAN STANDARD,LVP-CANS-0001,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Arno) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Arno) | 9"" x 9mm x RL - 22.38sf/b",promo-582c899974c8
CANADIAN STANDARD,LVP-CANS-0001,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-a06187cf1f6c
CANADIAN STANDARD,LVP-CANS-0002,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Eska) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Eska) | 9"" x 9mm x RL - 22.38sf/b",promo-c2fef7013133
CANADIAN STANDARD,LVP-CANS-0002,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-75b4e28d5001
CANADIAN STANDARD,LVP-CANS-0003,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Lumi) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Lumi) | 9"" x 9mm x RL - 22.38sf/b",promo-77c07f56b362
CANADIAN STANDARD,LVP-CANS-0003,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-5243fcff6eb2
CANADIAN STANDARD,LVP-CANS-0004,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Mizu) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Mizu) | 9"" x 9mm x RL - 22.38sf/b",promo-a4cfd86d7939
CANADIAN STANDARD,LVP-CANS-0004,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-d90a1ca1511b
CANADIAN STANDARD,LVP-CANS-0005,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Noa) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Noa) | 9"" x 9mm x RL - 22.38sf/b",promo-a96de45cb47b
CANADIAN STANDARD,LVP-CANS-0005,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-04cdb47c96f3
CANADIAN STANDARD,LVP-CANS-0006,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Ruvo) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Ruvo) | 9"" x 9mm x RL - 22.38sf/b",promo-aa99ec0a4733
CANADIAN STANDARD,LVP-CANS-0006,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-68bc708e97fb
CANADIAN STANDARD,LVP-CANS-0007,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Sora) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Sora) | 9"" x 9mm x RL - 22.38sf/b",promo-03b1a63d7224
CANADIAN STANDARD,LVP-CANS-0007,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-26caf06f7103
CANADIAN STANDARD,LVP-CANS-0008,(P) on,2026-10-31,2.99,3.49,"CANSLVP-SPC - Evion 9 Waterproof (Yara) | 9"" x 9mm x RL - 22.38sf/b","(P 2026-10-31) CANSLVP-SPC - Evion 9 Waterproof (Yara) | 9"" x 9mm x RL - 22.38sf/b",promo-f1690b685dfc
CANADIAN STANDARD,LVP-CANS-0008,cost -> promo,2026-10-31,2.99,3.49,3.49,2.99,promo-e78427c696d2
CANADIAN STANDARD,LVP-CANS-0009,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Dawson) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Dawson) | 9"" x 7mm x RL - 22.09sf/b",promo-7a492a166b1e
CANADIAN STANDARD,LVP-CANS-0009,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-6dd29a7250d6
CANADIAN STANDARD,LVP-CANS-0010,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Eddi) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Eddi) | 9"" x 7mm x RL - 22.09sf/b",promo-db1534ed8d74
CANADIAN STANDARD,LVP-CANS-0010,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-ff6261dc2250
CANADIAN STANDARD,LVP-CANS-0011,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Ellis) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Ellis) | 9"" x 7mm x RL - 22.09sf/b",promo-5cc14814af31
CANADIAN STANDARD,LVP-CANS-0011,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-8193260a5997
CANADIAN STANDARD,LVP-CANS-0012,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Ernest) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Ernest) | 9"" x 7mm x RL - 22.09sf/b",promo-f4b4ae6f94b7
CANADIAN STANDARD,LVP-CANS-0012,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-d37edfa45b0d
CANADIAN STANDARD,LVP-CANS-0013,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Lesley) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Lesley) | 9"" x 7mm x RL - 22.09sf/b",promo-559cd1568aee
CANADIAN STANDARD,LVP-CANS-0013,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-c569ce5b20d6
CANADIAN STANDARD,LVP-CANS-0014,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Nadine) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Nadine) | 9"" x 7mm x RL - 22.09sf/b",promo-952c1aa903eb
CANADIAN STANDARD,LVP-CANS-0014,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-f3a4a5d5de22
CANADIAN STANDARD,LVP-CANS-0015,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Percy) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Percy) | 9"" x 7mm x RL - 22.09sf/b",promo-fea1621df609
CANADIAN STANDARD,LVP-CANS-0015,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-dd1357fee214
CANADIAN STANDARD,LVP-CANS-0016,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Phoebe) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Phoebe) | 9"" x 7mm x RL - 22.09sf/b",promo-f55d2f2a2b29
CANADIAN STANDARD,LVP-CANS-0016,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-61a20fa4af91
CANADIAN STANDARD,LVP-CANS-0017,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Rosie) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Rosie) | 9"" x 7mm x RL - 22.09sf/b",promo-3a965f0ed15b
CANADIAN STANDARD,LVP-CANS-0017,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-d2813cda7c9f
CANADIAN STANDARD,LVP-CANS-0018,(P) on,2026-09-30,2.1,2.49,"CANSLVP-SPC - VANNTETT PLUS (Ross) | 9"" x 7mm x RL - 22.09sf/b","(P 2026-09-30) CANSLVP-SPC - VANNTETT PLUS (Ross) | 9"" x 7mm x RL - 22.09sf/b",promo-c604476ff7b1
CANADIAN STANDARD,LVP-CANS-0018,cost -> promo,2026-09-30,2.1,2.49,2.49,2.1,promo-2abe774521fa
EVERGREEN,LAM-EVGR-2020,(P) on,(none),1.69,1.79,"EVGRLAM - Waterproof Drop Lock 12mm Short Plank (2020*) Click | 7.7"" x 12mm x 48"" - 20.40sf/b","(P) EVGRLAM - Waterproof Drop Lock 12mm Short Plank (2020*) Click | 7.7"" x 12mm x 48"" - 20.40sf/b",promo-ed847c470f5e
EVERGREEN,LAM-EVGR-2020,cost -> promo,(none),1.69,1.79,1.79,1.69,promo-c944ea233926
EVERGREEN,LAM-EVGR-72102,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72102*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72102*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-471dc13ebecb
EVERGREEN,LAM-EVGR-72103,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72103*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72103*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-634dab8593bb
EVERGREEN,LAM-EVGR-72113-10MM,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72113*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72113*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-af4acce12216
EVERGREEN,LAM-EVGR-72208,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72208*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72208*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-2b386f1b5420
EVERGREEN,LAM-EVGR-72228,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72228*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72228*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-58764a01ee55
EVERGREEN,LAM-EVGR-72245,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72245*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72245*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-fbc52f5a1bbb
EVERGREEN,LAM-EVGR-72523-10MM,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72523*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72523*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-092a2d810b3c
EVERGREEN,LAM-EVGR-72527,(P) on,(none),1.49,1.49,"EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72527*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b","(P) EVGRLAM - Waterproof Drop Lock 10mm (Clearance) (72527*) Click | 9.4"" x 10mm x 60"" - 23.29sf/b",promo-92080a60eb5f
FLOORS AT WORK,ENG-FAWK-0008,(P) on,2026-09-30,3.29,3.69,"NAFENG - Hickory Engineered (Millstone) T&G | 6.5"" x 18mm x RL - 19.18sf/b - Distressed","(P 2026-09-30) NAFENG - Hickory Engineered (Millstone) T&G | 6.5"" x 18mm x RL - 19.18sf/b - Distressed",promo-ee98f1005249
FLOORS AT WORK,ENG-FAWK-0010,(P) on,2026-09-30,3.99,4.49,"NAFENG - Hickory Engineered (Aged Barrel) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b","(P 2026-09-30) NAFENG - Hickory Engineered (Aged Barrel) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",promo-5f1efaa38898
FLOORS AT WORK,ENG-FAWK-0012,(P) on,2026-09-30,3.99,4.49,"NAFENG - Hickory Engineered (Earl Grey) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b","(P 2026-09-30) NAFENG - Hickory Engineered (Earl Grey) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",promo-8250f22355aa
FLOORS AT WORK,ENG-FAWK-0014,(P) on,2026-09-30,3.99,4.49,"NAFENG - Hickory Engineered (Macadamia) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b","(P 2026-09-30) NAFENG - Hickory Engineered (Macadamia) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",promo-229ea6c1f8df
FLOORS AT WORK,ENG-FAWK-0015,(P) on,2026-09-30,3.99,4.49,"NAFENG - Hickory Engineered (Modern Pewter) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b","(P 2026-09-30) NAFENG - Hickory Engineered (Modern Pewter) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",promo-84297248d2a3
FLOORS AT WORK,ENG-FAWK-0019,(P) on,2026-09-30,3.99,4.49,"NAFENG - Hickory Engineered (Saddle Brown) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b","(P 2026-09-30) NAFENG - Hickory Engineered (Saddle Brown) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",promo-251d0e44adb9
FLOORS AT WORK,ENG-FAWK-0022,(P) on,2026-09-30,2.99,3.69,"NAFENG - White Oak Click (Golden) | 5"" x 12mm x RL - 29.28sf/b","(P 2026-09-30) NAFENG - White Oak Click (Golden) | 5"" x 12mm x RL - 29.28sf/b",promo-babd16091963
FLOORS AT WORK,ENG-FAWK-0025,(P) on,2026-09-30,2.99,3.69,"NAFENG - White Oak T&G (Country Brown) | 6.5"" x 18mm x RL - 19.18sf/b","(P 2026-09-30) NAFENG - White Oak T&G (Country Brown) | 6.5"" x 18mm x RL - 19.18sf/b",promo-645d378aee83
FLOORS AT WORK,ENG-FAWK-0029,(P) on,2026-09-30,2.99,3.69,"NAFENG - White Oak T&G (Oregon Oak) | 6.5"" x 18mm x RL - 19.74sf/b","(P 2026-09-30) NAFENG - White Oak T&G (Oregon Oak) | 6.5"" x 18mm x RL - 19.74sf/b",promo-f5c04abc3957
FLOORS AT WORK,ENG-FAWK-0037,(P) on,2026-09-30,2.99,3.79,"NAFENG - Regal American White Oak (Puerto Rico) T&G | 6.5"" x 18mm x RL - 20.24sf/b","(P 2026-09-30) NAFENG - Regal American White Oak (Puerto Rico) T&G | 6.5"" x 18mm x RL - 20.24sf/b",promo-d2ce7bf2375e
FLOORS AT WORK,ENG-FAWK-0038,(P) on,2026-09-30,2.99,3.79,"NAFENG - Regal American White Oak (Suriname) T&G | 6.5"" x 18mm x RL - 20.24sf/b","(P 2026-09-30) NAFENG - Regal American White Oak (Suriname) T&G | 6.5"" x 18mm x RL - 20.24sf/b",promo-69f33a372dd5
FLOORS AT WORK,ENG-FAWK-0043,(P) on,2026-09-30,2.99,3.79,"NAFENG - Regal American White Oak (Haiti) T&G | 7.5"" x 18mm x RL - 23.31sf/b","(P 2026-09-30) NAFENG - Regal American White Oak (Haiti) T&G | 7.5"" x 18mm x RL - 23.31sf/b",promo-e7f6009bb3e1
FLOORS AT WORK,ENG-FAWK-0045,(P) on,2026-09-30,2.99,3.79,"NAFENG - Regal American White Oak (Cuba) T&G | 7.5"" x 18mm x RL - 23.31sf/b","(P 2026-09-30) NAFENG - Regal American White Oak (Cuba) T&G | 7.5"" x 18mm x RL - 23.31sf/b",promo-47cbed95b8d8
FLOORS AT WORK,ENG-FAWK-0047,(P) on,2026-09-30,2.99,3.79,"NAFENG - Regal American White Oak (St. Kitts) T&G | 7.5"" x 18mm x RL - 23.31sf/b","(P 2026-09-30) NAFENG - Regal American White Oak (St. Kitts) T&G | 7.5"" x 18mm x RL - 23.31sf/b",promo-65fea2970c4e
FLOORS AT WORK,ENG-FAWK-0051,(P) on,2026-09-30,2.99,3.79,"NAFENG - Regal American White Oak (Lisbon) T&G | 7.5"" x 18mm x RL - 23.44sf/b","(P 2026-09-30) NAFENG - Regal American White Oak (Lisbon) T&G | 7.5"" x 18mm x RL - 23.44sf/b",promo-0cfec8ad7c08
FLOORS AT WORK,ENG-FAWK-0054,(P) on,2026-09-30,3.99,4.99,"NAFENG - Designer American White Oak (Da Vinci) T&G | 7.5"" x 18mm x RL - 23.31sf/b","(P 2026-09-30) NAFENG - Designer American White Oak (Da Vinci) T&G | 7.5"" x 18mm x RL - 23.31sf/b",promo-c175c669a609
FLOORS AT WORK,ENG-FAWK-0055,(P) on,2026-09-30,3.79,4.99,"NAFENG - Designer American White Oak (Picasso) T&G | 7.5"" x 18mm x RL - 23.31sf/b","(P 2026-09-30) NAFENG - Designer American White Oak (Picasso) T&G | 7.5"" x 18mm x RL - 23.31sf/b",promo-a524061bd225
FLOORS AT WORK,ENG-FAWK-0059,(P) on,2026-09-30,3.99,4.69,"NAFENG - Designer European White Oak (Storm Oak) T&G | 5"" x 18mm x RL - 3mm top - 20.77sf/b - Select","(P 2026-09-30) NAFENG - Designer European White Oak (Storm Oak) T&G | 5"" x 18mm x RL - 3mm top - 20.77sf/b - Select",promo-85a0e5b2aefc
FLOORS AT WORK,ENG-FAWK-0061,(P) on,2026-09-30,5.99,6.99,"NAFENG - Designer European White Oak (Alabaster Oak) T&G | 7.5"" x 18mm x RL - 3mm top - 23.31sf/b - Select & Better","(P 2026-09-30) NAFENG - Designer European White Oak (Alabaster Oak) T&G | 7.5"" x 18mm x RL - 3mm top - 23.31sf/b - Select & Better",promo-170c04245176
FLOORS AT WORK,ENG-FAWK-0064,(P) on,2026-09-30,5.99,6.99,"NAFENG - Designer European White Oak (Soft Gold) T&G | 7.5"" x 18mm x RL - 3mm top - 23.31sf/b - Select & Better","(P 2026-09-30) NAFENG - Designer European White Oak (Soft Gold) T&G | 7.5"" x 18mm x RL - 3mm top - 23.31sf/b - Select & Better",promo-04116342b27f
FLOORS AT WORK,ENG-FAWK-0068,(P) on,2026-09-30,2.99,3.49,"NAFENG - Elegant American White Oak (Montana) T&G | 7.5"" x 18mm x RL - 23.81sf/b","(P 2026-09-30) NAFENG - Elegant American White Oak (Montana) T&G | 7.5"" x 18mm x RL - 23.81sf/b",promo-edb342a2a502
FLOORS AT WORK,ENG-FAWK-0071,(P) on,2026-09-30,2.99,3.49,"NAFENG - Elegant American White Oak (Arizona) T&G | 7.5"" x 18mm x RL - 23.81sf/b","(P 2026-09-30) NAFENG - Elegant American White Oak (Arizona) T&G | 7.5"" x 18mm x RL - 23.81sf/b",promo-94b1f4bf726d
FLOORS AT WORK,ENG-FAWK-0073,(P) on,2026-09-30,2.99,3.49,"NAFENG - Elegant American White Oak (Colorado) T&G | 7.5"" x 18mm x RL - 23.81sf/b","(P 2026-09-30) NAFENG - Elegant American White Oak (Colorado) T&G | 7.5"" x 18mm x RL - 23.81sf/b",promo-e4d6623b9a67
